,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,2193558,12250.0,147378.0,1907.0,555533.0,1490647,56555.0,281.0,18.9,0.0,0.0
1,USA,678210,640.0,34641.0,24.0,57844.0,585725,13369.0,2049.0,105.0,3411394.0,10306.0
2,Spain,184948,0.0,19315.0,0.0,74797.0,90836,7371.0,3956.0,413.0,930230.0,19896.0
3,Italy,168941,0.0,22170.0,0.0,40164.0,106607,2936.0,2794.0,367.0,1178403.0,19490.0
4,France,165027,0.0,17920.0,0.0,32812.0,114295,6248.0,2528.0,275.0,333807.0,5114.0
5,Germany,138135,437.0,4093.0,41.0,81800.0,52242,4288.0,1649.0,49.0,1728357.0,20629.0
6,UK,103093,0.0,13729.0,0.0,0.0,89020,1559.0,1519.0,202.0,417649.0,6152.0
7,Iran,77995,0.0,4869.0,0.0,52229.0,20897,3594.0,929.0,58.0,310340.0,3695.0
8,Turkey,74193,0.0,1643.0,0.0,7089.0,65461,1854.0,880.0,19.0,518143.0,6144.0
9,Belgium,36138,1329.0,5163.0,306.0,7961.0,23014,1140.0,3118.0,445.0,134303.0,11588.0
10,Russia,32008,4070.0,273.0,41.0,2590.0,29145,8.0,219.0,2.0,1718019.0,11773.0
11,Brazil,30891,208.0,1952.0,5.0,14026.0,14913,6634.0,145.0,9.0,62985.0,296.0
12,Canada,30106,0.0,1195.0,0.0,9729.0,19182,557.0,798.0,32.0,487625.0,12920.0
13,Netherlands,29214,0.0,3315.0,0.0,250.0,25649,1279.0,1705.0,193.0,147948.0,8634.0
14,Switzerland,26732,0.0,1288.0,7.0,15900.0,9544,386.0,3089.0,149.0,206400.0,23849.0
15,Portugal,18841,0.0,629.0,0.0,493.0,17719,229.0,1848.0,62.0,221049.0,21678.0
16,Austria,14527,51.0,410.0,0.0,9704.0,4413,227.0,1613.0,46.0,169272.0,18795.0
17,India,13495,65.0,448.0,0.0,1777.0,11270,0.0,10.0,0.3,302956.0,220.0
18,Ireland,13271,0.0,486.0,0.0,77.0,12708,156.0,2688.0,98.0,90646.0,18358.0
19,Israel,12855,97.0,148.0,6.0,2967.0,9740,182.0,1485.0,17.0,187250.0,21634.0
20,Sweden,12540,0.0,1333.0,0.0,550.0,10657,522.0,1242.0,132.0,74600.0,7387.0
21,Peru,12491,0.0,274.0,0.0,6120.0,6097,169.0,379.0,8.0,121468.0,3684.0
22,S. Korea,10635,22.0,230.0,1.0,7829.0,2576,55.0,207.0,4.0,546463.0,10659.0
23,Japan,9231,0.0,190.0,0.0,935.0,8106,193.0,73.0,2.0,100703.0,796.0
24,Chile,8807,0.0,105.0,0.0,3299.0,5403,384.0,461.0,5.0,98424.0,5149.0
25,Ecuador,8225,0.0,403.0,0.0,838.0,6984,168.0,466.0,23.0,27868.0,1580.0
26,Poland,8214,296.0,318.0,4.0,866.0,7030,160.0,217.0,8.0,169071.0,4467.0
27,Romania,8067,360.0,400.0,8.0,1508.0,6159,258.0,419.0,21.0,85805.0,4460.0
28,Denmark,7073,194.0,321.0,0.0,3023.0,3729,92.0,1221.0,55.0,87024.0,15024.0
29,Pakistan,7025,106.0,135.0,7.0,1765.0,5125,46.0,32.0,0.6,84704.0,383.0
30,Norway,6905,0.0,157.0,5.0,32.0,6716,63.0,1274.0,29.0,133707.0,24664.0
31,Australia,6523,55.0,65.0,2.0,3819.0,2639,60.0,256.0,3.0,391530.0,15354.0
32,Czechia,6437,4.0,170.0,1.0,979.0,5288,82.0,601.0,16.0,154307.0,14409.0
33,Saudi Arabia,6380,0.0,83.0,0.0,990.0,5307,71.0,183.0,2.0,150000.0,4309.0
34,Mexico,6297,450.0,486.0,37.0,2125.0,3686,207.0,49.0,4.0,40091.0,311.0
35,Indonesia,5923,407.0,520.0,24.0,607.0,4796,0.0,22.0,2.0,36000.0,132.0
36,Philippines,5878,218.0,387.0,25.0,487.0,5004,1.0,54.0,4.0,48171.0,440.0
37,UAE,5825,0.0,35.0,0.0,1095.0,4695,1.0,589.0,4.0,767000.0,77550.0
38,Serbia,5318,0.0,103.0,0.0,443.0,4772,120.0,609.0,12.0,29472.0,3373.0
39,Malaysia,5251,69.0,86.0,2.0,2967.0,2198,51.0,162.0,3.0,90562.0,2798.0
40,Belarus,4779,575.0,42.0,2.0,342.0,4395,65.0,506.0,4.0,86813.0,9187.0
41,Ukraine,4662,501.0,125.0,9.0,246.0,4291,45.0,107.0,3.0,47096.0,1077.0
42,Singapore,4427,0.0,10.0,0.0,683.0,3734,29.0,757.0,2.0,94796.0,16203.0
43,Qatar,4103,0.0,7.0,0.0,415.0,3681,37.0,1424.0,2.0,56381.0,19570.0
44,Panama,4016,265.0,109.0,6.0,98.0,3809,99.0,931.0,25.0,17850.0,4137.0
45,Dominican Republic,3755,0.0,196.0,0.0,215.0,3344,121.0,346.0,18.0,12229.0,1127.0
46,Finland,3489,120.0,75.0,0.0,1700.0,1714,76.0,630.0,14.0,49700.0,8970.0
47,Luxembourg,3444,0.0,69.0,0.0,552.0,2823,35.0,5502.0,110.0,31660.0,50577.0
48,Colombia,3233,0.0,144.0,0.0,550.0,2539,98.0,64.0,3.0,52085.0,1024.0
49,Thailand,2700,28.0,47.0,1.0,1689.0,964,61.0,39.0,0.7,100498.0,1440.0
50,Egypt,2673,0.0,196.0,0.0,596.0,1881,0.0,26.0,2.0,25000.0,244.0
51,Argentina,2669,0.0,122.0,0.0,631.0,1916,121.0,59.0,3.0,26457.0,585.0
52,South Africa,2605,0.0,48.0,0.0,903.0,1654,7.0,44.0,0.8,95060.0,1603.0
53,Morocco,2528,245.0,133.0,3.0,273.0,2122,1.0,68.0,4.0,12523.0,339.0
54,Algeria,2268,0.0,348.0,0.0,783.0,1137,60.0,52.0,8.0,3359.0,77.0
55,Greece,2207,0.0,105.0,0.0,269.0,1833,69.0,212.0,10.0,50771.0,4871.0
56,Moldova,2154,0.0,54.0,0.0,276.0,1824,80.0,534.0,13.0,9848.0,2441.0
57,Bangladesh,1838,266.0,75.0,15.0,58.0,1705,1.0,11.0,0.5,19193.0,117.0
58,Croatia,1791,0.0,35.0,0.0,529.0,1227,31.0,436.0,9.0,20158.0,4910.0
59,Hungary,1763,111.0,156.0,14.0,207.0,1400,63.0,182.0,16.0,41590.0,4305.0
60,Iceland,1739,0.0,8.0,0.0,1144.0,587,6.0,5096.0,23.0,38204.0,111955.0
61,Bahrain,1700,0.0,7.0,0.0,703.0,990,3.0,999.0,4.0,76630.0,45035.0
62,Kuwait,1524,0.0,3.0,0.0,225.0,1296,32.0,357.0,0.7,0.0,0.0
63,Kazakhstan,1480,78.0,17.0,0.0,285.0,1178,22.0,79.0,0.9,85735.0,4566.0
64,Estonia,1459,25.0,38.0,2.0,145.0,1276,11.0,1100.0,29.0,37594.0,28340.0
65,Iraq,1434,0.0,80.0,0.0,856.0,498,0.0,36.0,2.0,49260.0,1225.0
66,New Zealand,1409,8.0,11.0,2.0,816.0,582,2.0,292.0,2.0,74401.0,15429.0
67,Uzbekistan,1380,31.0,4.0,0.0,140.0,1236,8.0,41.0,0.1,100000.0,2988.0
68,Azerbaijan,1283,0.0,15.0,0.0,460.0,808,28.0,127.0,1.0,75397.0,7436.0
69,Slovenia,1268,0.0,61.0,0.0,174.0,1033,31.0,610.0,29.0,38137.0,18344.0
70,Armenia,1201,42.0,19.0,1.0,402.0,780,30.0,405.0,6.0,10793.0,3642.0
71,Bosnia and Herzegovina,1167,0.0,43.0,0.0,277.0,847,4.0,356.0,13.0,14743.0,4494.0
72,Lithuania,1149,21.0,32.0,0.0,210.0,907,14.0,422.0,12.0,53101.0,19506.0
73,North Macedonia,1081,0.0,46.0,0.0,121.0,914,15.0,519.0,22.0,10422.0,5002.0
74,Oman,1069,50.0,5.0,1.0,176.0,888,3.0,209.0,1.0,0.0,0.0
75,Hong Kong,1022,4.0,4.0,0.0,533.0,485,9.0,136.0,0.5,131786.0,17579.0
76,Cameroon,996,0.0,22.0,0.0,164.0,810,0.0,38.0,0.8,0.0,0.0
77,Slovakia,977,0.0,8.0,0.0,167.0,802,5.0,179.0,1.0,34458.0,6311.0
78,Afghanistan,906,66.0,30.0,0.0,99.0,777,0.0,23.0,0.8,0.0,0.0
79,Cuba,862,0.0,27.0,0.0,171.0,664,16.0,76.0,2.0,21837.0,1928.0
80,Bulgaria,825,25.0,40.0,2.0,141.0,644,37.0,119.0,6.0,18502.0,2663.0
81,Tunisia,822,0.0,37.0,0.0,43.0,742,89.0,70.0,3.0,13930.0,1179.0
82,Cyprus,735,0.0,12.0,0.0,77.0,646,8.0,609.0,10.0,25734.0,21314.0
83,Diamond Princess,712,0.0,13.0,0.0,644.0,55,7.0,0.0,0.0,0.0,0.0
84,Ivory Coast,688,34.0,6.0,0.0,193.0,489,0.0,26.0,0.2,0.0,0.0
85,Andorra,682,9.0,33.0,0.0,169.0,480,17.0,8827.0,427.0,1673.0,21653.0
86,Latvia,682,7.0,5.0,0.0,88.0,589,5.0,362.0,3.0,32837.0,17409.0
87,Lebanon,668,5.0,21.0,0.0,86.0,561,30.0,98.0,3.0,19185.0,2811.0
88,Costa Rica,642,0.0,4.0,0.0,74.0,564,11.0,126.0,0.8,9396.0,1844.0
89,Ghana,641,0.0,8.0,0.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0
90,Niger,609,25.0,15.0,1.0,105.0,489,0.0,25.0,0.6,4427.0,183.0
91,Djibouti,591,0.0,2.0,0.0,73.0,516,0.0,598.0,2.0,6430.0,6508.0
92,Burkina Faso,546,0.0,32.0,0.0,257.0,257,0.0,26.0,2.0,0.0,0.0
93,Albania,539,21.0,26.0,0.0,283.0,230,5.0,187.0,9.0,5080.0,1765.0
94,Uruguay,502,0.0,9.0,0.0,286.0,207,13.0,145.0,3.0,11239.0,3235.0
95,Kyrgyzstan,489,23.0,5.0,0.0,114.0,370,5.0,75.0,0.8,26147.0,4008.0
96,Bolivia,465,24.0,31.0,2.0,26.0,408,3.0,40.0,3.0,2185.0,187.0
97,Channel Islands,457,0.0,19.0,0.0,73.0,365,0.0,2629.0,109.0,3320.0,19095.0
98,Honduras,442,16.0,41.0,6.0,9.0,392,10.0,45.0,4.0,2012.0,203.0
99,Nigeria,442,0.0,13.0,0.0,152.0,277,2.0,2.0,0.06,6649.0,32.0
100,Guinea,438,0.0,1.0,0.0,49.0,388,0.0,33.0,0.08,0.0,0.0
101,San Marino,426,0.0,38.0,0.0,55.0,333,15.0,12555.0,1120.0,846.0,24933.0
102,Malta,412,0.0,3.0,0.0,82.0,327,4.0,933.0,7.0,21164.0,47932.0
103,Jordan,402,0.0,7.0,0.0,259.0,136,5.0,39.0,0.7,20500.0,2009.0
104,Palestine,402,28.0,2.0,0.0,69.0,331,0.0,79.0,0.4,17329.0,3397.0
105,Taiwan,395,0.0,6.0,0.0,166.0,223,0.0,17.0,0.3,51603.0,2167.0
106,Réunion,394,0.0,0.0,0.0,237.0,157,4.0,440.0,0.0,0.0,0.0
107,Georgia,370,22.0,3.0,0.0,79.0,288,6.0,93.0,0.8,5027.0,1260.0
108,Senegal,335,0.0,2.0,0.0,194.0,139,1.0,20.0,0.1,0.0,0.0
109,Mauritius,324,0.0,9.0,0.0,81.0,234,3.0,255.0,7.0,8279.0,6510.0
110,Montenegro,303,0.0,4.0,0.0,55.0,244,7.0,482.0,6.0,3874.0,6168.0
111,Isle of Man,289,5.0,4.0,0.0,168.0,117,10.0,3399.0,47.0,2322.0,27307.0
112,DRC,287,20.0,23.0,1.0,25.0,239,0.0,3.0,0.3,0.0,0.0
113,Vietnam,268,0.0,0.0,0.0,198.0,70,8.0,3.0,0.0,206253.0,2119.0
114,Kenya,246,12.0,11.0,0.0,53.0,182,2.0,5.0,0.2,9630.0,179.0
115,Sri Lanka,238,0.0,7.0,0.0,70.0,161,1.0,11.0,0.3,4768.0,223.0
116,Mayotte,233,0.0,3.0,0.0,69.0,161,3.0,854.0,11.0,1500.0,5498.0
