,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,258112,13235.0,6572.0,502.0,11941.0,239599,5781.0,780.0,20.0
1,Italy,119827,4585.0,14681.0,766.0,19758.0,85388,4068.0,1982.0,243.0
2,Spain,117710,5645.0,10935.0,587.0,30513.0,76262,6416.0,2518.0,234.0
3,Germany,89451,4657.0,1208.0,101.0,24575.0,63668,3936.0,1068.0,14.0
4,France,59105,0.0,5387.0,0.0,12428.0,41290,6399.0,905.0,83.0
5,Iran,53183,2715.0,3294.0,134.0,17935.0,31954,4035.0,633.0,39.0
6,UK,38168,4450.0,3605.0,684.0,135.0,34428,163.0,562.0,53.0
7,Switzerland,19303,476.0,573.0,37.0,4846.0,13884,348.0,2230.0,66.0
8,Turkey,18135,0.0,356.0,0.0,415.0,17364,1101.0,215.0,4.0
9,Belgium,16770,1422.0,1143.0,132.0,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,15723,1026.0,1487.0,148.0,250.0,13986,1182.0,918.0,87.0
11,Canada,11747,464.0,173.0,0.0,1979.0,9595,120.0,311.0,5.0
12,Austria,11444,315.0,168.0,10.0,2022.0,9254,245.0,1271.0,19.0
13,S. Korea,10062,86.0,174.0,5.0,6021.0,3867,55.0,196.0,3.0
14,Portugal,9886,852.0,246.0,37.0,68.0,9572,245.0,970.0,24.0
15,Brazil,8195,151.0,335.0,11.0,127.0,7733,296.0,39.0,2.0
16,Israel,7030,173.0,39.0,3.0,338.0,6653,115.0,812.0,5.0
17,Sweden,6131,563.0,358.0,50.0,205.0,5568,469.0,607.0,35.0
18,Australia,5350,36.0,28.0,3.0,585.0,4737,85.0,210.0,1.0
19,Norway,5296,149.0,56.0,6.0,32.0,5208,96.0,977.0,10.0
20,Russia,4149,601.0,34.0,4.0,281.0,3834,8.0,28.0,0.2
21,Czechia,4091,233.0,53.0,9.0,72.0,3966,77.0,382.0,5.0
22,Ireland,3849,0.0,98.0,0.0,5.0,3746,109.0,779.0,20.0
23,Denmark,3757,371.0,139.0,16.0,1193.0,2425,153.0,649.0,24.0
24,Chile,3737,333.0,22.0,4.0,427.0,3288,31.0,195.0,1.0
25,Malaysia,3333,217.0,53.0,3.0,827.0,2453,108.0,103.0,2.0
26,Poland,3266,320.0,65.0,8.0,56.0,3145,50.0,86.0,2.0
27,Romania,3183,445.0,122.0,7.0,283.0,2778,83.0,165.0,6.0
28,Ecuador,3163,0.0,120.0,0.0,65.0,2978,100.0,179.0,7.0
29,Philippines,3018,385.0,136.0,29.0,52.0,2830,1.0,28.0,1.0
30,Japan,2617,0.0,63.0,0.0,514.0,2040,60.0,21.0,0.5
31,Luxembourg,2612,125.0,31.0,1.0,174.0,2407,33.0,4173.0,50.0
32,India,2567,24.0,72.0,0.0,192.0,2303,0.0,2.0,0.05
33,Pakistan,2458,37.0,35.0,1.0,126.0,2297,10.0,11.0,0.2
34,Saudi Arabia,2039,154.0,25.0,4.0,351.0,1663,41.0,59.0,0.7
35,Indonesia,1986,196.0,181.0,11.0,134.0,1671,0.0,7.0,0.7
36,Thailand,1978,103.0,19.0,4.0,581.0,1378,23.0,28.0,0.3
37,Finland,1615,97.0,20.0,1.0,300.0,1295,72.0,291.0,4.0
38,Greece,1613,69.0,59.0,6.0,61.0,1493,92.0,155.0,6.0
39,Mexico,1510,132.0,50.0,13.0,633.0,827,1.0,12.0,0.4
40,South Africa,1505,43.0,7.0,2.0,95.0,1403,7.0,25.0,0.1
41,Dominican Republic,1488,108.0,68.0,8.0,16.0,1404,147.0,137.0,6.0
42,Serbia,1476,305.0,39.0,8.0,42.0,1395,81.0,169.0,4.0
43,Panama,1475,0.0,37.0,0.0,9.0,1429,50.0,342.0,9.0
44,Peru,1414,0.0,55.0,0.0,537.0,822,51.0,43.0,2.0
45,Iceland,1364,45.0,4.0,0.0,309.0,1051,12.0,3997.0,12.0
46,Argentina,1265,0.0,39.0,3.0,266.0,960,0.0,28.0,0.9
47,Colombia,1161,0.0,19.0,0.0,55.0,1087,50.0,23.0,0.4
48,Singapore,1114,65.0,5.0,1.0,282.0,827,24.0,190.0,0.9
49,Croatia,1079,68.0,8.0,1.0,92.0,979,39.0,263.0,2.0
50,Qatar,1075,126.0,3.0,0.0,93.0,979,37.0,373.0,1.0
51,UAE,1024,0.0,8.0,0.0,96.0,920,2.0,104.0,0.8
52,Algeria,986,0.0,86.0,0.0,61.0,839,0.0,22.0,2.0
53,Estonia,961,103.0,12.0,1.0,48.0,901,16.0,724.0,9.0
