,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,2745786,22742.0,191806.0,887.0,755593.0,1798387,58693.0,352.0,24.6,0.0,0.0
1,USA,886709,267.0,50243.0,7.0,85922.0,750544,14997.0,2679.0,152.0,4775625.0,14428.0
2,Spain,219764,6740.0,22524.0,367.0,92355.0,104885,7705.0,4700.0,482.0,930230.0,19896.0
3,Italy,189973,0.0,25549.0,0.0,57576.0,106848,2267.0,3142.0,423.0,1579909.0,26131.0
4,France,158183,0.0,21856.0,0.0,42088.0,94239,5053.0,2423.0,335.0,463662.0,7103.0
5,Germany,153307,178.0,5575.0,0.0,106800.0,40932,2908.0,1830.0,67.0,2072669.0,24738.0
6,UK,138078,0.0,18738.0,0.0,0.0,118996,1559.0,2034.0,276.0,583496.0,8595.0
7,Turkey,101790,0.0,2491.0,0.0,18491.0,80808,1816.0,1207.0,30.0,791906.0,9390.0
8,Iran,87026,0.0,5481.0,0.0,64843.0,16702,3105.0,1036.0,65.0,389507.0,4637.0
9,Russia,68622,5849.0,615.0,60.0,5568.0,62439,2300.0,470.0,4.0,2550000.0,17474.0
10,Brazil,50230,738.0,3343.0,30.0,26573.0,20314,8318.0,236.0,16.0,291922.0,1373.0
11,Belgium,44293,1496.0,6679.0,189.0,10122.0,27492,970.0,3822.0,576.0,189067.0,16313.0
12,Canada,42110,0.0,2147.0,0.0,14761.0,25202,557.0,1116.0,57.0,634917.0,16822.0
13,Netherlands,35729,0.0,4177.0,0.0,0.0,31302,1008.0,2085.0,244.0,187000.0,10913.0
14,Switzerland,28677,181.0,1551.0,2.0,20600.0,6526,386.0,3313.0,179.0,235252.0,27182.0
15,India,23502,463.0,722.0,1.0,5012.0,17768,0.0,17.0,0.5,541789.0,393.0
16,Portugal,22353,0.0,820.0,0.0,1201.0,20332,204.0,2192.0,80.0,315758.0,30967.0
17,Peru,20914,0.0,572.0,0.0,7422.0,12920,396.0,634.0,17.0,185238.0,5618.0
18,Ireland,17607,0.0,794.0,0.0,9233.0,7580,147.0,3566.0,161.0,111584.0,22598.0
19,Sweden,16755,0.0,2021.0,0.0,550.0,14184,533.0,1659.0,200.0,94500.0,9357.0
20,Austria,15071,69.0,522.0,0.0,11872.0,2677,169.0,1673.0,58.0,205835.0,22854.0
21,Israel,14882,79.0,193.0,1.0,5685.0,9004,139.0,1719.0,22.0,240303.0,27763.0
22,Saudi Arabia,13930,0.0,121.0,0.0,1925.0,11884,93.0,400.0,3.0,200000.0,5745.0
23,Japan,12368,0.0,328.0,0.0,1494.0,10546,259.0,98.0,3.0,135983.0,1075.0
24,Singapore,12075,897.0,12.0,0.0,924.0,11139,26.0,2064.0,2.0,94796.0,16203.0
25,Chile,11812,0.0,168.0,0.0,5804.0,5840,411.0,618.0,9.0,135147.0,7070.0
26,Mexico,11633,1089.0,1069.0,99.0,2627.0,7937,378.0,90.0,8.0,51297.0,398.0
27,Ecuador,11183,0.0,560.0,0.0,1328.0,9295,141.0,634.0,32.0,34840.0,1975.0
28,Pakistan,11155,98.0,237.0,2.0,2527.0,8391,111.0,50.0,1.0,131365.0,595.0
29,Poland,10759,248.0,463.0,9.0,1944.0,8352,160.0,284.0,12.0,250719.0,6625.0
30,S. Korea,10708,6.0,240.0,0.0,8501.0,1967,55.0,209.0,5.0,589520.0,11499.0
31,Romania,10417,321.0,552.0,7.0,2817.0,7048,241.0,541.0,29.0,121602.0,6321.0
32,UAE,8756,0.0,56.0,0.0,1637.0,7063,1.0,885.0,6.0,790000.0,79875.0
33,Qatar,8525,761.0,10.0,0.0,809.0,7706,72.0,2959.0,3.0,75888.0,26340.0
34,Indonesia,8211,436.0,689.0,42.0,1002.0,6520,0.0,30.0,3.0,64054.0,234.0
35,Denmark,8210,137.0,394.0,0.0,5384.0,2432,74.0,1417.0,68.0,125329.0,21638.0
36,Belarus,8022,0.0,60.0,0.0,938.0,7024,92.0,849.0,6.0,122543.0,12968.0
37,Ukraine,7647,477.0,193.0,6.0,601.0,6853,45.0,175.0,4.0,77752.0,1778.0
38,Norway,7401,0.0,194.0,0.0,32.0,7175,50.0,1365.0,36.0,152095.0,28055.0
39,Serbia,7276,0.0,139.0,0.0,1063.0,6074,96.0,833.0,16.0,51324.0,5874.0
40,Philippines,7192,211.0,477.0,15.0,762.0,5953,1.0,66.0,4.0,76956.0,702.0
41,Czechia,7188,1.0,213.0,3.0,2186.0,4789,76.0,671.0,20.0,203622.0,19014.0
42,Australia,6675,8.0,79.0,4.0,5136.0,1460,43.0,262.0,3.0,482371.0,18917.0
43,Malaysia,5691,88.0,96.0,1.0,3663.0,1932,41.0,176.0,3.0,121722.0,3761.0
44,Dominican Republic,5543,0.0,265.0,0.0,674.0,4604,135.0,511.0,24.0,18261.0,1683.0
45,Panama,5166,174.0,146.0,2.0,271.0,4749,86.0,1197.0,34.0,23534.0,5454.0
46,Bangladesh,4689,503.0,131.0,4.0,112.0,4446,1.0,28.0,0.8,39476.0,240.0
47,Colombia,4561,0.0,215.0,0.0,927.0,3419,98.0,90.0,4.0,71500.0,1405.0
48,Finland,4395,111.0,172.0,0.0,2000.0,2223,60.0,793.0,31.0,71000.0,12814.0
49,South Africa,3953,0.0,75.0,0.0,1473.0,2405,36.0,67.0,1.0,143570.0,2421.0
50,Egypt,3891,0.0,287.0,0.0,1004.0,2600,0.0,38.0,3.0,90000.0,879.0
51,Morocco,3692,124.0,155.0,0.0,478.0,3059,1.0,100.0,4.0,22816.0,618.0
52,Luxembourg,3665,0.0,83.0,0.0,728.0,2854,27.0,5855.0,133.0,36891.0,58933.0
53,Argentina,3435,0.0,166.0,1.0,919.0,2350,123.0,76.0,4.0,41786.0,925.0
54,Algeria,3007,0.0,407.0,0.0,1355.0,1245,40.0,69.0,9.0,6500.0,148.0
55,Moldova,2926,0.0,80.0,0.0,755.0,2091,212.0,725.0,20.0,11763.0,2916.0
56,Thailand,2854,15.0,50.0,0.0,2490.0,314,61.0,41.0,0.7,142589.0,2043.0
57,Greece,2463,0.0,127.0,2.0,577.0,1759,52.0,236.0,12.0,59241.0,5684.0
58,Kuwait,2399,0.0,14.0,0.0,613.0,1772,55.0,562.0,3.0,0.0,0.0
59,Hungary,2383,99.0,250.0,11.0,401.0,1732,61.0,247.0,26.0,58251.0,6030.0
60,Kazakhstan,2334,45.0,24.0,4.0,560.0,1750,29.0,124.0,1.0,153492.0,8175.0
61,Bahrain,2217,0.0,8.0,0.0,1082.0,1127,2.0,1303.0,5.0,100031.0,58787.0
62,Croatia,1981,0.0,50.0,0.0,883.0,1048,19.0,483.0,12.0,28853.0,7028.0
63,Oman,1790,74.0,9.0,0.0,325.0,1456,3.0,351.0,2.0,0.0,0.0
64,Iceland,1789,0.0,10.0,0.0,1509.0,270,5.0,5243.0,29.0,45093.0,132143.0
65,Uzbekistan,1778,20.0,8.0,1.0,598.0,1172,8.0,53.0,0.2,210000.0,6274.0
66,Iraq,1677,0.0,83.0,0.0,1171.0,423,0.0,42.0,2.0,64882.0,1613.0
67,Estonia,1605,13.0,46.0,1.0,206.0,1353,6.0,1210.0,35.0,46281.0,34889.0
68,Armenia,1596,73.0,27.0,3.0,728.0,841,10.0,539.0,9.0,16552.0,5586.0
69,Azerbaijan,1548,0.0,20.0,0.0,948.0,580,14.0,153.0,2.0,108221.0,10674.0
70,New Zealand,1456,5.0,17.0,1.0,1095.0,344,1.0,302.0,4.0,108238.0,22446.0
71,Cameroon,1430,96.0,43.0,0.0,668.0,719,20.0,54.0,2.0,0.0,0.0
72,Bosnia and Herzegovina,1421,8.0,55.0,1.0,538.0,828,4.0,433.0,17.0,21432.0,6533.0
73,Lithuania,1410,12.0,40.0,0.0,430.0,940,17.0,518.0,15.0,90992.0,33425.0
74,Slovenia,1373,7.0,80.0,1.0,211.0,1082,23.0,660.0,38.0,45703.0,21984.0
75,Slovakia,1360,35.0,17.0,2.0,355.0,988,8.0,249.0,3.0,61261.0,11221.0
76,North Macedonia,1300,0.0,56.0,0.0,301.0,943,14.0,624.0,27.0,13649.0,6551.0
77,Afghanistan,1279,0.0,42.0,0.0,179.0,1058,7.0,33.0,1.0,6422.0,165.0
78,Cuba,1235,0.0,43.0,0.0,365.0,827,14.0,109.0,4.0,34243.0,3023.0
79,Bulgaria,1171,74.0,52.0,0.0,193.0,926,37.0,169.0,7.0,27000.0,3886.0
80,Ghana,1154,0.0,9.0,0.0,99.0,1046,4.0,37.0,0.3,68591.0,2207.0
81,Hong Kong,1036,0.0,4.0,0.0,699.0,333,9.0,138.0,0.5,131786.0,17579.0
82,Ivory Coast,1004,0.0,14.0,0.0,359.0,631,0.0,38.0,0.5,0.0,0.0
83,Djibouti,986,0.0,2.0,0.0,252.0,732,0.0,998.0,2.0,10619.0,10748.0
84,Nigeria,981,0.0,31.0,0.0,197.0,753,2.0,5.0,0.2,8003.0,39.0
85,Tunisia,918,0.0,38.0,0.0,190.0,690,32.0,78.0,3.0,19411.0,1642.0
86,Guinea,862,0.0,6.0,0.0,170.0,686,0.0,66.0,0.5,0.0,0.0
87,Cyprus,795,0.0,13.0,0.0,98.0,684,15.0,658.0,11.0,40745.0,33747.0
88,Latvia,784,6.0,12.0,1.0,133.0,639,6.0,416.0,6.0,43080.0,22840.0
