,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
0,USA,123776,+198,2229.0,8.0,3231.0,118316,2666.0,374.0,7.0,Jan 20
1,Italy,92472,,10023.0,,12384.0,70065,3856.0,1529.0,166.0,Jan 29
2,Spain,73235,,5982.0,,12285.0,54968,4165.0,1566.0,128.0,Jan 30
3,Germany,57695,,433.0,,8481.0,48781,1581.0,689.0,5.0,Jan 26
4,France,37575,,2314.0,,5700.0,29561,4273.0,576.0,35.0,Jan 23
5,Iran,35408,,2517.0,,11679.0,21212,3206.0,422.0,30.0,Feb 18
6,UK,17089,,1019.0,,135.0,15935,163.0,252.0,15.0,Jan 30
7,Switzerland,14076,,264.0,,1595.0,12217,301.0,1626.0,31.0,Feb 24
8,Netherlands,9762,,639.0,,3.0,9120,914.0,570.0,37.0,Feb 26
9,S. Korea,9583,+105,152.0,8.0,5033.0,4398,59.0,187.0,3.0,Jan 19
10,Belgium,9134,,353.0,,1063.0,7718,789.0,788.0,30.0,Feb 03
11,Austria,8271,,68.0,,225.0,7978,135.0,918.0,8.0,Feb 24
12,Turkey,7402,,108.0,,70.0,7224,445.0,88.0,1.0,Mar 09
13,Canada,5655,,60.0,,508.0,5087,120.0,150.0,2.0,Jan 24
14,Portugal,5170,,100.0,,43.0,5027,89.0,507.0,10.0,Mar 01
15,Norway,4032,+17,23.0,,7.0,4002,84.0,744.0,4.0,Feb 25
16,Australia,3969,+334,16.0,2.0,226.0,3727,23.0,156.0,0.6,Jan 24
17,Brazil,3904,,114.0,,6.0,3784,296.0,18.0,0.5,Feb 24
18,Israel,3865,+246,12.0,,89.0,3764,66.0,447.0,1.0,Feb 20
19,Sweden,3447,,105.0,,16.0,3326,239.0,341.0,10.0,Jan 30
20,Czechia,2663,+32,13.0,2.0,11.0,2639,45.0,249.0,1.0,Feb 29
21,Ireland,2415,,36.0,,5.0,2374,59.0,489.0,7.0,Feb 28
22,Malaysia,2320,,27.0,,320.0,1973,54.0,72.0,0.8,Jan 24
23,Denmark,2201,,65.0,,1.0,2135,109.0,380.0,11.0,Feb 26
24,Chile,1909,,6.0,,61.0,1842,7.0,100.0,0.3,Mar 02
25,Luxembourg,1831,,18.0,,40.0,1773,25.0,2925.0,29.0,Feb 28
26,Ecuador,1823,,48.0,,3.0,1772,58.0,103.0,3.0,Feb 28
27,Poland,1717,+79,19.0,1.0,7.0,1691,3.0,45.0,0.5,Mar 03
28,Japan,1693,,52.0,,404.0,1237,56.0,13.0,0.4,Jan 14
29,Pakistan,1526,+31,13.0,1.0,29.0,1484,11.0,7.0,0.06,Feb 25
30,Romania,1452,,37.0,,139.0,1276,34.0,75.0,2.0,Feb 25
31,Thailand,1388,+143,7.0,1.0,97.0,1284,11.0,20.0,0.1,Jan 12
32,Russia,1264,,4.0,,49.0,1211,8.0,9.0,0.03,Jan 30
33,Finland,1218,+51,9.0,,10.0,1199,32.0,220.0,2.0,Jan 28
34,Saudi Arabia,1203,,4.0,,37.0,1162,6.0,35.0,0.1,Mar 01
35,South Africa,1187,,1.0,,31.0,1155,7.0,20.0,0.02,Mar 04
36,Indonesia,1155,,102.0,,59.0,994,,4.0,0.4,Mar 01
37,Philippines,1075,,68.0,,35.0,972,1.0,10.0,0.6,Jan 29
38,Greece,1061,,32.0,,52.0,977,66.0,102.0,3.0,Feb 25
39,India,987,,25.0,1.0,87.0,875,,0.7,0.02,Jan 29
40,Iceland,963,,2.0,,114.0,847,18.0,2822.0,6.0,Feb 27
41,Panama,901,,17.0,,4.0,880,32.0,209.0,4.0,Mar 09
42,Mexico,848,+131,16.0,4.0,4.0,828,1.0,7.0,0.1,Feb 27
43,Singapore,802,,3.0,1.0,198.0,601,19.0,137.0,0.5,Jan 22
44,Argentina,745,,19.0,,72.0,654,,16.0,0.4,Mar 02
45,Dominican Republic,719,,28.0,,3.0,688,,66.0,3.0,Feb 29
46,Diamond Princess,712,,10.0,,597.0,105,15.0,,,Feb 04
47,Slovenia,684,,9.0,,10.0,665,25.0,329.0,4.0,Mar 03
48,Peru,671,,16.0,,16.0,639,33.0,20.0,0.5,Mar 05
49,Serbia,659,,10.0,,42.0,607,25.0,75.0,1.0,Mar 05
50,Croatia,657,,5.0,,45.0,607,14.0,160.0,1.0,Feb 24
51,Estonia,645,,1.0,,20.0,624,10.0,486.0,0.8,Feb 26
52,Colombia,608,,6.0,,10.0,592,,12.0,0.1,Mar 05
53,Qatar,590,,1.0,,45.0,544,6.0,205.0,0.3,Feb 28
54,Egypt,576,,36.0,,121.0,419,,6.0,0.4,Feb 13
55,Hong Kong,560,,4.0,,112.0,444,5.0,75.0,0.5,Jan 22
56,New Zealand,514,,1.0,,56.0,457,1.0,107.0,0.2,Feb 27
57,Iraq,506,,42.0,,131.0,333,,13.0,1.0,Feb 21
58,Bahrain,476,,4.0,,265.0,207,1.0,280.0,2.0,Feb 23
59,UAE,468,,2.0,,55.0,411,2.0,47.0,0.2,Jan 28
60,Algeria,454,,29.0,,31.0,394,,10.0,0.7,Feb 24
61,Morocco,437,+35,26.0,1.0,12.0,399,1.0,12.0,0.7,Mar 01
